"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"ENSG00000288635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228368",0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
"ENSG00000213050",0,0,3,0,2,0,1,0,0,0,0,0,0,2,5,0
"MIR6132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST7-AS2",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000287829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100421782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTND4P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTCYBP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285904",0,2,16,6,3,2,0,0,3,2,13,2,2,0,22,10
"RN7SL771P",0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
"ADCK2",1970,2132,2832,2359,5308,2856,1253,2009,1148,1242,2584,1408,1153,1708,5273,3525
"NDUFB2",3655,4371,7395,9640,10658,10700,2769,7306,1786,3869,6872,2938,3067,3988,11490,11494
"NDUFB2-AS1",16,11,17,35,25,74,13,40,6,18,52,8,6,13,59,51
"RNU6-85P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRPS33",3727,2526,5604,7157,7698,7253,1885,5377,1250,2004,4720,1977,2567,3115,8626,8635
"DUS4L",549,345,895,590,1280,776,324,461,194,306,869,279,361,436,1352,984
"ENSG00000270992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPA2",20,10,33,34,68,35,17,53,13,18,77,16,18,25,39,45
"CPA4",2,4,56,6,132,56,80,0,0,200,46,2,6,14,6,148
"ENSG00000259920",2,0,14,0,18,2,8,8,2,0,8,0,2,0,12,12
"MESTIT1",7,3,58,22,46,27,25,19,2,7,37,19,11,18,87,84
"MEST",11580,6520,35715,27158,51518,30930,13744,16764,5066,6788,35701,7782,12232,13014,43151,43364
"ENSG00000277269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270823",4,2,12,6,11,4,2,3,2,3,27,0,2,7,16,13
"MIR335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270953",14,13,58,8,65,22,30,25,9,4,81,13,24,22,57,55
"ENSG00000276213",0,0,4,0,0,0,1,1,0,0,0,0,4,0,0,0
"GALNT11",6776,2239,6762,5929,9845,4267,1917,3282,3160,2315,8735,2307,2691,2173,11761,7668
"ENSG00000229591",0,2,2,1,0,0,0,10,0,0,7,10,0,1,7,6
"YBX1P4",6,0,0,2,6,2,0,4,5,4,2,0,2,2,11,8
"ENSG00000270405",53,16,0,0,102,39,14,29,29,50,0,0,0,0,103,54
"ENSG00000204894",20,6,0,0,45,17,7,15,9,17,0,0,0,0,40,18
"SEPTIN7P6",0,0,2,2,2,2,0,2,0,4,6,0,0,0,6,4
"ENSG00000253088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241735",0,0,2,0,4,10,0,2,1,3,8,4,2,2,4,10
"CCT8L1P",0,0,0,0,0,0,2,0,2,0,0,0,2,0,4,4
"LINC01003",194,92,250,81,316,122,82,54,156,134,392,62,104,52,546,250
"ENSG00000231139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225416",2,4,4,5,6,2,0,0,2,0,2,0,2,0,8,2
"CPSF4",7371,4348,14341,8727,18702,11314,5421,7058,3244,4208,13295,3867,5460,4411,22322,14426
"ENSG00000228335",7,12,17,12,24,3,4,9,0,0,18,8,9,4,16,19
"ATP5MF",8757,7212,14745,16765,20170,16130,5150,12905,3930,6043,12679,5213,7026,7198,20490,17338
"ZNF789",451,360,770,595,989,883,415,751,183,335,838,207,264,299,1934,1199
"ZNF394",2301,1737,3737,3281,5366,4459,1691,2787,1212,1475,3598,1123,1583,1976,6808,5311
"FAM200A",925,1016,2170,1713,2764,2181,737,1313,575,865,1831,582,883,855,3017,2507
"ZNF655",4058,2356,5865,4841,7230,6707,2526,4516,1882,2776,7145,2076,2133,2749,12805,8067
"ENSG00000272647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM225B",21,0,15,19,23,2,3,10,17,4,58,21,24,4,56,13
"ZSCAN25",1783,1429,4175,2756,5900,4686,1870,1937,1018,2196,3335,1015,1293,1865,5948,4985
"ENSG00000224448",4,11,4,9,1,35,9,5,0,66,4,6,4,11,11,28
"CYP3A5",34,63,92,117,148,269,85,83,25,90,72,39,34,108,175,221
