"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00002075174",0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0
"Trip12",17096,16407,49549,27545,25645,52696
"ENSMUSG00000103505",1,0,0,5,5,2
"ENSMUSG00000104503",11,5,32,22,22,16
"Fbxo36",73,78,190,84,90,222
"Slc16a14",20,12,71,19,14,33
"ENSMUSG00000118590",0,0,0,0,0,0
"ENSMUSG00000099693",0,0,1,0,0,0
"Stat1",168,170,253,126,98,196
"Epb41l5",790,780,1908,813,717,1342
"Gm18301",0,0,0,2,0,0
"ENSMUSG00000102687",0,0,0,1,0,0
"H3f3a",431,443,2553,460,450,1496
"Gm24836",0,0,0,0,0,0
"Sde2",1692,1625,4287,2693,2575,4970
"Sp140l2",3,1,0,0,0,0
"ENSMUSG00000103979",304,291,949,435,385,1564
"Rpl19-ps1",4,1,4,2,1,1
"ENSMUSG00002076475",0,0,0,0,0,0
"ENSMUSG00000118640",0,0,0,0,0,2
"Gm18342",0,0,0,0,0,0
"Lefty2",1124,1047,2714,1940,1874,2402
"Eya1",182,198,444,40,36,71
"ENSMUSG00002075819",0,0,3,0,0,0
"ENSMUSG00000102588",0,0,0,0,0,0
"Sp140l1",1,1,0,0,0,1
"ENSMUSG00000073631",0,0,0,0,0,0
"Pycr2",1222,1177,1714,1333,1236,1800
"Msc",63,63,94,245,209,78
"ENSMUSG00000103492",1,1,0,4,3,3
"ENSMUSG00000081201",0,1,1,1,0,0
"Lefty1",1170,1152,1807,944,903,1000
"Rpl5-ps1",7,5,13,8,7,5
"ENSMUSG00000090128",0,1,0,0,0,0
"Ptpn4",905,874,2728,1045,1044,1959
"ENSMUSG00000091876",0,0,0,0,1,0
"ENSMUSG00000103146",2,4,4,14,10,3
"ENSMUSG00000100436",0,0,0,0,0,0
"ENSMUSG00000090277",1,1,0,0,1,0
"Gm29658",0,0,0,0,0,0
"Tmem177",428,457,863,567,544,943
"Trpa1",44,44,80,70,65,57
"Tmem63a",376,379,604,349,295,581
"ENSMUSG00000085563",0,1,0,0,1,1
"ENSMUSG00000103930",0,0,0,0,0,0
"Cfap221",3,2,36,2,3,8
"Gm17973",0,0,0,0,0,0
"Sctr",5,4,0,4,0,4
"Ephx1",652,608,1269,1175,1127,2867
"Tmem37",126,115,153,225,208,230
"ENSMUSG00000103516",0,0,0,0,0,0
"ENSMUSG00000102858",0,0,0,0,0,0
"Degs1l",0,1,1,1,1,1
