"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00002075174",0,0,0,0,0,0
"ENSMUSG00000104209",0,0,0,0,0,0
"ENSMUSG00000026219",17096,16407,49549,27545,25645,52696
"ENSMUSG00000103505",1,0,0,5,5,2
"ENSMUSG00000104503",11,5,32,22,22,16
"ENSMUSG00000073633",73,78,190,84,90,222
"ENSMUSG00000026220",20,12,71,19,14,33
"ENSMUSG00000118590",0,0,0,0,0,0
"ENSMUSG00000099693",0,0,1,0,0,0
"ENSMUSG00000026104",168,170,253,126,98,196
"ENSMUSG00000026383",790,780,1908,813,717,1342
"ENSMUSG00000099569",0,0,0,2,0,0
"ENSMUSG00000102687",0,0,0,1,0,0
"ENSMUSG00000060743",431,443,2553,460,450,1496
"ENSMUSG00000084558",0,0,0,0,0,0
"ENSMUSG00000038806",1692,1625,4287,2693,2575,4970
"ENSMUSG00000052477",3,1,0,0,0,0
"ENSMUSG00000103979",304,291,949,435,385,1564
"ENSMUSG00000064281",4,1,4,2,1,1
"ENSMUSG00002076475",0,0,0,0,0,0
"ENSMUSG00000118640",0,0,0,0,0,2
"ENSMUSG00000101279",0,0,0,0,0,0
"ENSMUSG00000066652",1124,1047,2714,1940,1874,2402
"ENSMUSG00000025932",182,198,444,40,36,71
"ENSMUSG00002075819",0,0,3,0,0,0
"ENSMUSG00000102588",0,0,0,0,0,0
"ENSMUSG00000089844",1,1,0,0,0,1
"ENSMUSG00000073631",0,0,0,0,0,0
"ENSMUSG00000026520",1222,1177,1714,1333,1236,1800
"ENSMUSG00000025930",63,63,94,245,209,78
"ENSMUSG00000103492",1,1,0,4,3,3
"ENSMUSG00000081201",0,1,1,1,0,0
"ENSMUSG00000038793",1170,1152,1807,944,903,1000
"ENSMUSG00000082193",7,5,13,8,7,5
"ENSMUSG00000090128",0,1,0,0,0,0
"ENSMUSG00000026384",905,874,2728,1045,1044,1959
"ENSMUSG00000091876",0,0,0,0,1,0
"ENSMUSG00000103146",2,4,4,14,10,3
"ENSMUSG00000100436",0,0,0,0,0,0
"ENSMUSG00000090277",1,1,0,0,1,0
"ENSMUSG00000100042",0,0,0,0,0,0
"ENSMUSG00000036975",428,457,863,567,544,943
"ENSMUSG00000032769",44,44,80,70,65,57
"ENSMUSG00000026519",376,379,604,349,295,581
"ENSMUSG00000085563",0,1,0,0,1,1
"ENSMUSG00000103930",0,0,0,0,0,0
"ENSMUSG00000036962",3,2,36,2,3,8
"ENSMUSG00000092245",0,0,0,0,0,0
