"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"ENSG00000255048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251862",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255443",0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0
"ENSG00000251194",0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0
"ENSG00000255004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255542",1,1,0,5,2,2,0,0,0,1,7,1,2,2,6,0
"ENSG00000277514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188691",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000152402",161,187,297,323,478,412,176,138,50,231,343,148,64,343,439,626
"ENSG00000134955",123,48,305,205,425,61,86,190,82,87,293,122,73,75,517,328
"ENSG00000181264",1424,648,2459,1462,3590,1685,754,1271,743,724,3387,744,745,903,3917,2532
"ENSG00000170242",4238,2310,7442,4066,9703,5437,2925,2914,2186,3309,7553,1619,2193,2352,12940,6319
"ENSG00000135374",0,0,0,0,0,2,0,0,0,6,2,0,0,0,1,8
"ENSG00000149269",28559,12946,35606,27302,51502,31609,12324,21438,15304,8926,36938,8724,14582,16071,65488,35874
"ENSG00000049449",6882,3344,14824,6944,22046,9097,4851,4893,3844,6689,14757,2982,5203,3544,16334,12184
"ENSG00000137710",11079,8827,26672,18409,36983,21361,9360,10855,5380,10397,22778,7196,7254,9176,35630,29253
"ENSG00000165970",2,5,2,8,4,10,4,2,2,2,2,0,0,2,0,0
"ENSG00000149403",419,368,832,582,1072,729,290,529,346,261,877,273,309,402,1035,825
"ENSG00000149179",3315,1268,6821,4593,9739,3615,2188,2873,1489,1778,6110,1768,2562,1443,8230,6493
"ENSG00000158077",24,0,67,20,38,15,10,17,0,2,96,26,18,12,73,42
"ENSG00000202089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167771",12326,15340,33108,28505,42459,37405,12397,25222,6933,15619,22368,12985,12479,18282,47260,52666
"ENSG00000110583",4296,4032,7013,4939,9666,10572,3687,5423,1526,3658,7767,1717,2092,3969,18233,11204
"ENSG00000207200",5,0,1,1,3,0,0,1,2,3,4,1,4,0,18,3
"ENSG00000176340",10014,8290,13787,16601,20860,18989,5604,14260,5086,6129,13676,6194,7000,7670,23821,20454
"ENSG00000133315",3102,300,6434,1587,7524,841,1296,1066,1489,384,5828,899,2691,505,10678,2089
"ENSG00000256824",0,0,0,0,0,1,1,0,2,0,0,0,2,0,1,3
"ENSG00000256481",4,0,0,3,0,1,0,2,2,1,0,2,2,1,10,11
"ENSG00000256341",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000168439",49592,35527,92076,81125,113975,88600,32717,55847,22462,34030,73028,25791,31230,42336,151307,102966
"ENSG00000130592",6,4,25,19,21,30,0,5,0,2,25,8,2,22,18,19
"ENSG00000137522",2849,2399,5343,4420,7799,6317,2319,4129,1337,2540,5236,1821,1713,2915,8609,7412
"ENSG00000255296",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251143",4,0,19,4,16,5,10,0,0,7,15,2,4,0,22,5
"ENSG00000207012",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000263742",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149357",9828,8241,14197,15304,22100,20370,6190,11840,4115,7123,12774,5060,6094,8761,26514,21256
"ENSG00000257075",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ENSG00000256518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204971",0,0,0,2,0,0,0,2,0,6,0,1,0,0,0,0
"ENSG00000255860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165462",49,34,180,115,279,65,36,75,119,113,198,47,96,46,182,163
"ENSG00000228286",2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0
"ENSG00000285864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
