"","ph.kmeans.cluster","gene","cluster_label"
"13722",2,"OR2AT4","maternal_oocyte_RNA"
"13723",2,"SLCO2B1","maternal_oocyte_RNA"
"13724",3,"POLD3","maternal_1C_2C_RNA"
"13725",4,"NEU3","hESC_RNA"
"13726",3,"RNF169","maternal_1C_2C_RNA"
"13727",1,"XRRA1","ICM_RNA"
"13728",1,"SPCS2","ICM_RNA"
"13729",1,"TPBGL","ICM_RNA"
"13730",6,"CHRDL2","eight_cell_RNA"
"13731",3,"KLHL35","maternal_1C_2C_RNA"
"13732",4,"SERPINH1","hESC_RNA"
"13733",4,"GDPD5","hESC_RNA"
"13734",4,"ARRB1","hESC_RNA"
"13735",4,"MIR326","hESC_RNA"
"13736",2,"MOGAT2","maternal_oocyte_RNA"
"13737",2,"WNT11","maternal_oocyte_RNA"
"13738",1,"MAP6","ICM_RNA"
"13739",6,"DGAT2","eight_cell_RNA"
"13740",6,"THAP12","eight_cell_RNA"
"13741",6,"UVRAG","eight_cell_RNA"
"13742",1,"GVQW3","ICM_RNA"
"13743",4,"RPS3","hESC_RNA"
"13744",2,"SNORD15A","maternal_oocyte_RNA"
"13745",5,"SNORD15B","four_cell_RNA"
"13746",2,"LRRC32","maternal_oocyte_RNA"
"13747",6,"B3GNT6","eight_cell_RNA"
"13748",1,"GUCY2EP","ICM_RNA"
"13749",4,"ACER3","hESC_RNA"
"13750",3,"EMSY","maternal_1C_2C_RNA"
"13751",6,"MYO7A","eight_cell_RNA"
"13752",1,"TSKU","ICM_RNA"
"13753",4,"LOC101928837","hESC_RNA"
"13754",3,"CAPN5","maternal_1C_2C_RNA"
"13755",3,"OMP","maternal_1C_2C_RNA"
"13756",6,"GDPD4","eight_cell_RNA"
"13757",5,"AQP11","four_cell_RNA"
"13758",4,"PAK1","hESC_RNA"
"13759",4,"CLNS1A","hESC_RNA"
"13760",4,"RSF1","hESC_RNA"
"13761",5,"AAMDC","four_cell_RNA"
"13762",5,"INTS4","four_cell_RNA"
"13763",6,"ALG8","eight_cell_RNA"
"13764",6,"KCTD21-AS1","eight_cell_RNA"
"13765",3,"KCTD21","maternal_1C_2C_RNA"
"13766",1,"USP35","ICM_RNA"
"13767",4,"KCTD14","hESC_RNA"
"13768",4,"NDUFC2-KCTD14","hESC_RNA"
"13769",2,"NDUFC2","maternal_oocyte_RNA"
"13770",1,"THRSP","ICM_RNA"
"13771",3,"GAB2","maternal_1C_2C_RNA"
"13772",1,"LOC101928944","ICM_RNA"
"13773",1,"FAM181B","ICM_RNA"
"13774",1,"NARS2","ICM_RNA"
"13775",6,"MIR4300HG","eight_cell_RNA"
"13776",2,"RAB30-DT","maternal_oocyte_RNA"
"13777",3,"TENM4","maternal_1C_2C_RNA"
"13778",5,"MIR708","four_cell_RNA"
"13779",4,"PRCP","hESC_RNA"
"13780",5,"DDIAS","four_cell_RNA"
"13781",6,"RAB30","eight_cell_RNA"
"13782",4,"CCDC90B","hESC_RNA"
"13783",4,"CREBZF","hESC_RNA"
"13784",3,"ANKRD42","maternal_1C_2C_RNA"
"13785",5,"TMEM126A","four_cell_RNA"
"13786",5,"CCDC89","four_cell_RNA"
"13787",4,"TMEM126B","hESC_RNA"
"13788",6,"PCF11","eight_cell_RNA"
"13789",5,"LOC100506282","four_cell_RNA"
"13790",6,"PCF11-AS1","eight_cell_RNA"
"13791",1,"DLG2","ICM_RNA"
"13792",2,"CCDC83","maternal_oocyte_RNA"
"13793",1,"CCDC81","ICM_RNA"
"13794",4,"HIKESHI","hESC_RNA"
"13795",4,"LOC100506368","hESC_RNA"
"13796",4,"TMEM135","hESC_RNA"
"13797",1,"PICALM","ICM_RNA"
"13798",5,"EED","four_cell_RNA"
"13799",5,"MIR6755","four_cell_RNA"
"13800",6,"ME3","eight_cell_RNA"
"13801",4,"RAB38","hESC_RNA"
"13802",4,"CTSC","hESC_RNA"
"13803",2,"PRSS23","maternal_oocyte_RNA"
"13804",6,"FZD4","eight_cell_RNA"
"13805",2,"TYR","maternal_oocyte_RNA"
"13806",4,"NOX4","hESC_RNA"
"13807",2,"FOLH1B","maternal_oocyte_RNA"
"13808",1,"TRIM77","ICM_RNA"
"13809",6,"GRM5-AS1","eight_cell_RNA"
"13810",5,"GRM5","four_cell_RNA"
"13811",3,"TRIM49","maternal_1C_2C_RNA"
"13812",3,"TRIM53AP","maternal_1C_2C_RNA"
"13813",3,"TRIM64B","maternal_1C_2C_RNA"
"13814",3,"TRIM53AP.1","maternal_1C_2C_RNA"
"13815",3,"TRIM49C","maternal_1C_2C_RNA"
"13816",5,"UBTFL1","four_cell_RNA"
"13817",3,"TRIM64","maternal_1C_2C_RNA"
"13818",5,"NAALAD2","four_cell_RNA"
"13819",2,"CHORDC1","maternal_oocyte_RNA"
